name,artist,id,danceability,energy,loudness,speechiness,acousticness,tempo,liveness,valence
I'm Ready,NAV,0zVDNjVPGARqeYN7tOHd9C,0.829,0.719,-5.843,0.435,0.159,156.054,0.112,0.62
Tap (feat. Meek Mill),NAV,5rU6kDNXZLXIinFezpbWbO,0.901,0.676,-7.033,0.251,0.0646,85.018,0.0863,0.452
Hold Your Breath (feat. Gunna),NAV,5PFfxZ9WezcE8JiUWLsyus,0.825,0.682,-5.197,0.214,0.137,146.129,0.122,0.5
Drowning (feat. Kodak Black),A Boogie Wit da Hoodie,6Q2FftbUG530lCtBI74bMH,0.839,0.81,-5.274,0.0568,0.501,129.014,0.117,0.814
1942 Flows,Meek Mill,7sLDnUauivS2vN6Z9EfUJT,0.63,0.628,-4.016,0.327,0.0515,121.307,0.091,0.266
Lord Pretty Flacko Jodye 2 (LPFJ2),A$AP Rocky,1j6kDJttn6wbVyMaM42Nxm,0.489,0.718,-5.989,0.11,0.0122,207.986,0.0546,0.0568
1 AM,Meek Mill,6Rtug7pmJtXarD0fTtRlt0,0.901,0.65,-4.137,0.0981,0.0038,100.298,0.111,0.295
Back To Back,Drake,5lFDtgWsjRJu8fPOAyJIAK,0.893,0.48,-3.728,0.356,0.00855,86.976,0.116,0.382
Dedicate,Lil Wayne,0Y7di9ZCmB6Elad5WISaPc,0.879,0.662,-6.162,0.309,0.033,117.975,0.716,0.723
6 Foot 7 Foot,Lil Wayne,0z5ZPs57J2KERwM1tBM2GF,0.365,0.751,-5.429,0.304,0.000707,79.119,0.318,0.604
Fireman - Main,Lil Wayne,0aq7ohTG6VDYQvsnAYtA5e,0.682,0.723,-4.628,0.211,0.0109,80.634,0.406,0.364
ZUU,Denzel Curry,5sG65w8uKtjsJw7nc845Nc,0.678,0.509,-8.494,0.138,0.15,141.037,0.489,0.351
RICKY,Denzel Curry,2QbGvQssb0VLLS4x5NOmyJ,0.776,0.562,-6.901,0.363,0.0399,169.03,0.138,0.521
WISH FEAT. KIDDO MARV,Denzel Curry,0shSP8DgseLewHgAiMC4UL,0.655,0.766,-6.746,0.0736,0.234,95.017,0.425,0.622
BIRDZ FEAT. RICK ROSS,Denzel Curry,0pA0rcw7ci5X5XHrnBpkdn,0.632,0.792,-6.644,0.0864,0.0207,77.542,0.666,0.539
Backin' It Up (feat. Cardi B),Pardison Fontaine,0PpfPNtQOOvbMNVJijTQj0,0.796,0.68,-4.853,0.353,0.0886,164.932,0.268,0.565
Stranger Things,Joyner Lucas,34I0nBvoE0ZXmqbKiJ5BWS,0.867,0.663,-5.838,0.178,0.443,121.978,0.117,0.481
SPEEDBOAT,Denzel Curry,2FTOLKjQUswhpdMFq15Raf,0.925,0.628,-7.587,0.131,0.0604,120.021,0.358,0.81
Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,1wJRveJZLSb1rjhnUHQiv6,0.581,0.662,-5.239,0.303,0.0153,93.023,0.111,0.434
Startender (feat. Offset and Tyga),A Boogie Wit da Hoodie,0jAfdqv18goRTUxm3ilRjb,0.736,0.622,-4.653,0.133,0.0235,191.971,0.151,0.506
